"額定功率(W)","相關認證(註1)","備註","型號","廠牌","登錄有效期限","登錄編號","輸入電壓(V)","輸出電壓(V)"
"20000","PL104-PV0144","","RPI-M20A","DELTA","2018-08-31","PL104-PV0144","200-1000","三相380"
"15000","PL104-PV0145","","RPI-M15A","DELTA","2018-08-31","PL104-PV0145","200-1000","三相380"
"5000","PL104-PV0146","","PV-5000W-HV","PrimeVOLT","2018-09-24","PL104-PV0146","180-980","單相220"
"25600","PL104-PV0151","","ES25600HC","Ablerex","2018-03-28","PL104-PV0151","300-1000","三相230/400"
"3000","PL104-PV0152","","PV-3000N-V","PrimeVOLT","2018-09-24","PL104-PV0152","100-580","單相220"
"5000","PL104-PV0153","","Evershine TL5000-10","Zeversolar","2018-04-09","PL104-PV0153","125-520","單相230"
"3000","PL104-PV0154","","GW3000D-NS","GOODWE","2018-02-28","PL104-PV0154","80-580","單相230"
"3680","PL104-PV0155","","GW3600-NS","GOODWE","2018-02-28","PL104-PV0155","125-580","單相230"
"3680","PL104-PV0156","","GW3600D-NS","GOODWE","2018-02-28","PL104-PV0156","125-580","單相230"
"4200","PL104-PV0157","","GW4200-NS","GOODWE","2018-02-28","PL104-PV0157","125-580","單相230"
"4200","PL104-PV0158","","GW4200D-NS","GOODWE","2018-02-28","PL104-PV0158","125-580","單相230"
"5000","PL104-PV0159","","GW5000-NS","GOODWE","2018-02-28","PL104-PV0159","125-580","單相230"
"5000","PL104-PV0160","","GW5000D-NS","GOODWE","2018-02-28","PL104-PV0160","125-580","單相230"
"25600","PL104-PV0161","","PM-25600GT-H","POWER MASTER","2018-03-28","PL104-PV0161","300-1000","三相230/400"
"500","PL105-PV0001","","YC500A","APS","2018-07-20","PL105-PV0001","22-55","單相240"
"225","PL105-PV0002","","YC250A","APS","2018-07-20","PL105-PV0002","16-55","單相240"
"15000","PL105-PV0012","","PV-15000T-U","PrimeVOLT","2018-09-24","PL105-PV0012","180-980","三相220/380"
"2000","PL105-PV0014","","UNO-2.0-I-OUTD","ABB","2018-05-25","PL105-PV0014","90-520","單相180-264"
"2000","PL105-PV0015","","UNO-2.0-I-OUTD-S","ABB","2018-05-25","PL105-PV0015","90-520","單相180-264"
"2500","PL105-PV0016","","UNO-2.5-I-OUTD","ABB","2018-05-25","PL105-PV0016","90-520","單相180-264"
"2500","PL105-PV0017","","UNO-2.5-I-OUTD-S","ABB","2018-05-25","PL105-PV0017","90-520","單相180-264"
"3000","PL105-PV0018","","PVI-3.0-TL-OUTD","ABB","2018-05-25","PL105-PV0018","90-580","單相180-264"
"3000","PL105-PV0019","","PVI-3.0-TL-OUTD-S","ABB","2018-05-25","PL105-PV0019","90-580","單相180-264"
"3600","PL105-PV0020","","PVI-3.6-TL-OUTD","ABB","2018-05-25","PL105-PV0020","90-580","單相180-264"
"3600","PL105-PV0021","","PVI-3.6-TL-OUTD-S","ABB","2018-05-25","PL105-PV0021","90-580","單相180-264"
"4200","PL105-PV0022","","PVI-4.2-TL-OUTD","ABB","2018-05-25","PL105-PV0022","90-580","單相180-264"
"4200","PL105-PV0023","","PVI-4.2-TL-OUTD-S","ABB","2018-05-25","PL105-PV0023","90-580","單相180-264"
"5000","PL105-PV0024","","PVI-5000-TL-OUTD","ABB","2018-05-25","PL105-PV0024","90-580","單相180-264"
"5000","PL105-PV0025","","PVI-5000-TL-OUTD-S","ABB","2018-05-25","PL105-PV0025","90-580","單相180-264"
"6000","PL105-PV0026","","PVI-6000-TL-OUTD","ABB","2018-05-25","PL105-PV0026","90-580","單相180-264"
"6000","PL105-PV0027","","PVI-6000-TL-OUTD-S","ABB","2018-05-25","PL105-PV0027","90-580","單相180-264"
"10000","PL105-PV0028","","PVI-10.0-TL-OUTD","ABB","2018-05-25","PL105-PV0028","200-850","三相320-480"
"10000","PL105-PV0029","","PVI-10.0-TL-OUTD-FS","ABB","2018-05-25","PL105-PV0029","200-850","三相320-480"
"10000","PL105-PV0030","","PVI-10.0-TL-OUTD-S","ABB","2018-05-25","PL105-PV0030","200-850","三相320-480"
"12500","PL105-PV0031","","PVI-12.5-TL-OUTD","ABB","2018-05-25","PL105-PV0031","200-850","三相320-480"
"12500","PL105-PV0032","","PVI-12.5-TL-OUTD-FS","ABB","2018-05-25","PL105-PV0032","200-850","三相320-480"
"12500","PL105-PV0033","","PVI-12.5-TL-OUTD-S","ABB","2018-05-25","PL105-PV0033","200-850","三相320-480"
"5800","PL105-PV0034","","Trio-5.8-TL-OUTD-400","ABB","2018-05-25","PL105-PV0034","200-950","三相320-480"
"5800","PL105-PV0035","","Trio-5.8-TL-OUTD-S-400","ABB","2018-05-25","PL105-PV0035","200-950","三相320-480"
"7500","PL105-PV0036","","Trio-7.5-TL-OUTD-400","ABB","2018-05-25","PL105-PV0036","200-950","三相320-480"
"7500","PL105-PV0037","","Trio-7.5-TL-OUTD-S-400","ABB","2018-05-25","PL105-PV0037","200-950","三相320-480"
"8500","PL105-PV0038","","Trio-8.5-TL-OUTD-400","ABB","2018-05-25","PL105-PV0038","200-950","三相320-480"
"8500","PL105-PV0039","","Trio-8.5-TL-OUTD-S-400","ABB","2018-05-25","PL105-PV0039","200-950","三相320-480"
"20000","PL105-PV0040","","Trio-20.0-TL-OUTD-400","ABB","2018-05-25","PL105-PV0040","200-950","三相320-480"
"20000","PL105-PV0041","","Trio-20.0-TL-OUTD-S2-400","ABB","2018-05-25","PL105-PV0041","200-950","三相320-480"
"20000","PL105-PV0042","","Trio-20.0-TL-OUTD-S2F-400","ABB","2018-05-25","PL105-PV0042","200-950","三相320-480"
"20000","PL105-PV0043","","Trio-20.0-TL-OUTD-S2X-400","ABB","2018-05-25","PL105-PV0043","200-950","三相320-480"
"27600","PL105-PV0044","","Trio-27.6-TL-OUTD-400","ABB","2018-05-25","PL105-PV0044","200-950","三相320-480"
"27600","PL105-PV0045","","Trio-27.6-TL-OUTD-S2-400","ABB","2018-05-25","PL105-PV0045","200-950","三相320-480"
"27600","PL105-PV0046","","Trio-27.6-TL-OUTD-S2F-400","ABB","2018-05-25","PL105-PV0046","200-950","三相320-480"
"27600","PL105-PV0047","","Trio-27.6-TL-OUTD-S2X-400","ABB","2018-05-25","PL105-PV0047","200-950","三相320-480"
"30000","PL105-PV0048","","CPSPV30000ETL","Cyberpower","2018-08-08","PL105-PV0048","300-1000","三相230/400"
"33000","PL105-PV0049","","CPSPV33000ETL","Cyberpower","2018-08-08","PL105-PV0049","300-1000","三相230/400"
"40000","PL105-PV0050","","CPSPV40000ETL","Cyberpower","2018-08-08","PL105-PV0050","300-1000","三相277/480"
"1500","PL105-PV0053","","KSG-1.5K-SM","KSTAR","2018-12-14","PL105-PV0053","150-450","單相230"
"2000","PL105-PV0054","","KSG-2K-SM","KSTAR","2018-12-14","PL105-PV0054","150-450","單相230"
"3000","PL105-PV0055","","KSG-3K-SM","KSTAR","2018-12-14","PL105-PV0055","150-450","單相230"
"3600","PL105-PV0056","","KSG-3.6K-SM","KSTAR","2018-12-14","PL105-PV0056","150-450","單相230"
"3000","PL105-PV0057","","KSG-3K-DM","KSTAR","2018-12-14","PL105-PV0057","150-500","單相230"
"3600","PL105-PV0058","","KSG-3.6K-DM","KSTAR","2018-12-14","PL105-PV0058","150-500","單相230"
"4200","PL105-PV0059","","KSG-4.2K-DM","KSTAR","2018-12-14","PL105-PV0059","150-500","單相230"
"5000","PL105-PV0060","","KSG-5.0K-DM","KSTAR","2018-12-14","PL105-PV0060","150-500","單相230"
"1000","PL105-PV0061","","GROWATT 1000-S","GROWATT","2018-12-28","PL105-PV0061","70-450","單相220/230/240"
"1600","PL105-PV0062","","GROWATT 1500-S","GROWATT","2018-12-28","PL105-PV0062","70-450","單相220/230/240"
"2000","PL105-PV0063","","GROWATT 2000-S","GROWATT","2018-12-28","PL105-PV0063","70-450","單相220/230/240"
"3000","PL105-PV0064","","GROWATT 3000-S","GROWATT","2018-12-28","PL105-PV0064","70-550","單相220/230/240"
"2500","PL105-PV0065","","GROWATT 2500MTL-S","GROWATT","2018-12-28","PL105-PV0065","70-500","單相220/230/240"
"3000","PL105-PV0066","","GROWATT 3000MTL-S","GROWATT","2018-12-28","PL105-PV0066","70-500","單相220/230/240"
"3600","PL105-PV0067","","GROWATT 3600MTL-S","GROWATT","2018-12-28","PL105-PV0067","70-550","單相220/230/240"
"4200","PL105-PV0068","","GROWATT 4200MTL-S","GROWATT","2018-12-28","PL105-PV0068","70-550","單相220/230/240"
"4600","PL105-PV0069","","GROWATT 5000MTL-S","GROWATT","2018-12-28","PL105-PV0069","70-550","單相220/230/240"
"5000","PL105-PV0070","","GROWATT 5500MTL-S","GROWATT","2018-12-28","PL105-PV0070","70-550","單相220/230/240"
"49900","PL105-PV0071","","Powador 60.0TL3-M-INT","KACO","2018-02-14","PL105-PV0071","200-1000","三相400/230"
"60000","PL105-PV0076","","STP 60-10","SMA","2018-12-31","PL105-PV0076","565-1000","三相400-480"
"20000","PL105-PV0077","","TRINERGY PLUS 20KW","AEC","2018-11-29","PL105-PV0077","280-1000","三相230/400"
"25000","PL105-PV0078","","TRINERGY PLUS 25KW","AEC","2018-11-29","PL105-PV0078","280-1000","三相230/400"
"30000","PL105-PV0079","","TRINERGY PLUS 30KW","AEC","2018-11-29","PL105-PV0079","280-1000","三相230/400"
"286","PL105-PV0082","","RTMU300SAP2","Ritek","2018-05-17","PL105-PV0082","22-54","單相240"
"4000","PL105-PV0087","","GW4000-DT","GOODWE","2018-02-28","PL105-PV0087","200-800","三相400"
"5000","PL105-PV0088","","GW5000-DT","GOODWE","2018-02-28","PL105-PV0088","200-800","三相400"
"8000","PL105-PV0089","","GW8000-DT","GOODWE","2018-02-28","PL105-PV0089","200-850","三相400"
"9000","PL105-PV0090","","GW9000-DT","GOODWE","2018-02-28","PL105-PV0090","200-850","三相400"
"10000","PL105-PV0091","","GW10KN-DT","GOODWE","2018-02-28","PL105-PV0091","200-850","三相400"
"4000","PL105-PV0092","","GW4000L-DT","GOODWE","2018-02-28","PL105-PV0092","200-550","三相400"
"5000","PL105-PV0093","","GW5000L-DT","GOODWE","2018-02-28","PL105-PV0093","200-550","三相400"
"6000","PL105-PV0094","","GW6000L-DT","GOODWE","2018-02-28","PL105-PV0094","200-550","三相400"
"5000","PL105-PV0098","","GSI-5000","Mean Well","2018-11-27","PL105-PV0098","125-500","單相220"
"5000","PL105-PV0099","","GSI-5000A","Mean Well","2018-11-27","PL105-PV0099","125-500","單相220"
"5000","PL105-PV0106","","SLM-5000W-V","Solar Master","2018-09-24","PL105-PV0106","100-580","單相220"
"10000","PL105-PV0107","","SLM-10000T-U","Solar Master","2018-09-24","PL105-PV0107","180-980","三相220/380"
"20000","PL105-PV0108","","SLM-20000T-U","Solar Master","2018-09-24","PL105-PV0108","180-980","三相220/380"
"2900","PL105-PV0116","","PVMate 2900U","MOTECH","2018-02-14","PL105-PV0116","200-550","單相208/240"
"2900","PL105-PV0117","","PVMate 2900U-PG","MOTECH","2018-02-14","PL105-PV0117","200-550","單相208/240"
"3900","PL105-PV0118","","PVMate 3900U","MOTECH","2018-02-14","PL105-PV0118","200-550","單相208/240"
"3900","PL105-PV0119","","PVMate 3900U-PG","MOTECH","2018-02-14","PL105-PV0119","200-550","單相208/240"
"4900","PL105-PV0120","","PVMate 4900U","MOTECH","2018-02-14","PL105-PV0120","200-550","單相208/240"
"5300","PL105-PV0121","","PVMate 5300U","MOTECH","2018-02-14","PL105-PV0121","200-550","單相208/240"
"6500","PL105-PV0122","","PVMate 6500U","MOTECH","2018-02-14","PL105-PV0122","220-600","單相208/240/277"
"7500","PL105-PV0123","","PVMate 7500U","MOTECH","2018-02-14","PL105-PV0123","220-600","單相208/240/277"
"50000","PL105-PV0124","","TRIO-50.0-TL-OUTD","ABB","2018-05-25","PL105-PV0124","300-950","三相320-480"
"12000","PL105-PV0125","","PM-12000GT","POWER MASTER","2018-03-29","PL105-PV0125","300-1000","三相230/400"
"6000","PL105-PV0136","","ES 6000","Ablerex","2018-03-29","PL105-PV0136","300-1000","三相 230/400"
"8000","PL105-PV0137","","ES 8000","Ablerex","2018-03-29","PL105-PV0137","300-1000","三相 230/400"
"10000","PL105-PV0138","","ES 10000","Ablerex","2018-03-29","PL105-PV0138","300-1000","三相 230/400"
"12000","PL105-PV0139","","ES 12000","Ablerex","2018-03-29","PL105-PV0139","300-1000","三相 230/400"
"305000","PL105-PV0140","","PVM3.53.305.EM","LTi","2018-07-10","PL105-PV0140","530-1000","三相340"
"315000","PL105-PV0141","","PVM3.54.315.EM","LTi","2018-07-10","PL105-PV0141","540-1000","三相350"
"283000","PL105-PV0142","","PVM3.57.315.EM","LTi","2018-07-10","PL105-PV0142","570-1000","三相350"
"333000","PL105-PV0143","","PVM3.57.333.EM","LTi","2018-07-10","PL105-PV0143","570-1000","三相370"
"350000","PL105-PV0144","","PVM3.59.350.EM","LTi","2018-07-10","PL105-PV0144","590-1000","三相390"
"25000","PL105-PV0146","","STP 25000TL-30","SMA","2018-12-31","PL105-PV0146","390-1000","三相230/400"
"5000","PL105-PV0147","","Zeverlution 5000","Zeversolar","2018-04-09","PL105-PV0147","100-520","單相230"
"15000","PL105-PV0148","","PVMate 15E","MOTECH","2018-02-14","PL105-PV0148","400-850","三相400"
"20000","PL105-PV0149","","PVMate 20E","MOTECH","2018-02-14","PL105-PV0149","400-850","三相400"
"300","PL105-PV0150","","G320","Darfon","2018-03-29","PL105-PV0150","22-60","單相220"
"36000","PL105-PV0151","","SUN2000-36KTL","Huawei","2018-06-12","PL105-PV0151","200-1000","三相220/380"
"42000","PL105-PV0152","","SUN2000-42KTL","Huawei","2018-06-12","PL105-PV0152","200-1000","三相277/480"
"6000","PL105-PV0153","","SLK-6000","POWERCOM","2018-05-09","PL105-PV0153","100-600","單相230"
"80000","PL105-PV0154","","M88H_121","DELTA","2018-08-31","PL105-PV0154","200-1000","三相480"
"5000","PL105-PV0155","","RPI-H5A_120","DELTA","2018-08-31","PL105-PV0155","100-550","單相220"
"2000","PL105-PV0156","","CPSPV2000ETL","Cyberpower","2018-12-03","PL105-PV0156","100-550","單相230"
"3000","PL105-PV0157","","CPSPV3000ETL","Cyberpower","2018-12-03","PL105-PV0157","100-550","單相230"
"3600","PL105-PV0158","","CPSPV3600ETL","Cyberpower","2018-12-03","PL105-PV0158","100-550","單相230"
"4000","PL105-PV0159","","CPSPV4000ETL","Cyberpower","2018-12-03","PL105-PV0159","250-900","單相230"
"5000","PL105-PV0160","","CPSPV5000ETL","Cyberpower","2018-12-03","PL105-PV0160","250-900","單相230"
"7000","PL105-PV0161","","CPSPV7000ETL","Cyberpower","2018-08-08","PL105-PV0161","300-1000","三相230/400"
"8000","PL105-PV0162","","CPSPV8000ETL","Cyberpower","2018-08-08","PL105-PV0162","300-1000","三相230/400"
"9000","PL105-PV0163","","CPSPV9000ETL","Cyberpower","2018-08-08","PL105-PV0163","300-1000","三相230/400"
"10000","PL105-PV0164","","CPSPV10000ETL","Cyberpower","2018-08-08","PL105-PV0164","300-1000","三相230/400"
"12000","PL105-PV0165","","CPSPV12000ETL","Cyberpower","2018-08-08","PL105-PV0165","300-1000","三相230/400"
"18000","PL105-PV0166","","CPSPV18000ETL","Cyberpower","2018-08-08","PL105-PV0166","300-1000","三相230/400"
"20000","PL105-PV0167","","CPSPV20000ETL","Cyberpower","2018-08-08","PL105-PV0167","300-1000","三相230/400"
