"額定功率(W)","相關認證(註1)","備註","型號","廠牌","登錄有效期限","登錄編號","輸入電壓(V)","輸出電壓(V)"
"3000","PL106-PV0021","","Zeverlution 3000S","Zeversolar","2018-04-09","PL106-PV0021","80-600","單相220"
"750000","PL106-PV0022","","EQX0750 UV320XN","Satcon","2018-02-06","PL106-PV0022","500-850","三相320"
"750000","PL106-PV0023","","EQX0750 UV320XP","Satcon","2018-02-06","PL106-PV0023","500-850","三相320"
"1000000","PL106-PV0024","","EQX1000 UV400XN","Satcon","2018-02-06","PL106-PV0024","615-850","三相400"
"1000000","PL106-PV0025","","EQX1000 UV400XP","Satcon","2018-02-06","PL106-PV0025","615-850","三相400"
"100000","PL106-PV0026","","PVS-100","Satcon","2018-02-06","PL106-PV0026","315-600","三相四線208"
"24000","PL106-PV0027","","Blueplanet 20.0 TL3 M2 WM OD IIG0","KACO","2018-02-14","PL106-PV0027","200-950","三相400/230"
"50000","PL106-PV0028","","Blueplanet 50.0 TL3 M1 WM OD IIGB","KACO","2018-02-14","PL106-PV0028","1100-","三相400/230"
"4600","PL106-PV0029","","Powador 5500","KACO","2018-02-14","PL106-PV0029","350-600","單相220"
"5500","PL106-PV0030","","Powador 6600","KACO","2018-02-14","PL106-PV0030","350-600","單相220"
"8000","PL106-PV0031","","Powador 9600","KACO","2018-02-14","PL106-PV0031","350-600","單相220"
"33000","PL106-PV0032","","SG33KTL-M","Sungrow","2018-03-19","PL106-PV0032","200-1000","三相/N/PE400V"
"50000","PL106-PV0033","","SG50KTL-M","Sungrow","2018-03-19","PL106-PV0033","300-1000","三相/N/PE400V"
"60000","PL106-PV0034","","SG60KTL","Sungrow","2018-03-19","PL106-PV0034","570-1000","三相/N/PE400V"
"30000","PL106-PV0035","","PV-30000T-U","PrimeVOLT","2018-09-24","PL106-PV0035","180-980","三相230/380"
"5000","PL106-PV0044","","STP5000TL-20","SMA","2018-12-31","PL106-PV0044","245-800","三相230/400"
"60000","PL106-PV0045","","Conext CL-60E","Schneider","2018-03-19","PL106-PV0045","570-950","三相400"
"15000","PL106-PV0046","","Eversol TLC15K","Zeversolar","2018-04-09","PL106-PV0046","270-950","三相220/380"
"17000","PL106-PV0047","","Eversol TLC17K","Zeversolar","2018-04-09","PL106-PV0047","270-950","三相220/380"
"20000","PL106-PV0048","","Eversol TLC20K","Zeversolar","2018-04-09","PL106-PV0048","270-950","三相220/380"
"500000","PL106-PV0050","","SG500MX","Sungrow","2018-03-19","PL106-PV0050","460-1000","三相315"
"2200","PL106-PV0051","","SE2200H","Solaredge","2018-03-05","PL106-PV0051","380-400","單相220/230"
"3000","PL106-PV0052","","SE3000H","Solaredge","2018-03-05","PL106-PV0052","380-480","單相220/230"
"3500","PL106-PV0053","","SE3500H","Solaredge","2018-03-05","PL106-PV0053","380-480","單相220/230"
"3680","PL106-PV0054","","SE3680H","Solaredge","2018-03-05","PL106-PV0054","380-480","單相220/230"
"33000","PL106-PV0055","","SE33.3K","Solaredge","2018-03-05","PL106-PV0055","840-1000","三相480/277"
"3000","PL106-PV0056","","ES 3000T","Ablerex","2018-03-26","PL106-PV0056","120-500","單相230"
"4000","PL106-PV0057","","ES 4000T","Ablerex","2018-03-26","PL106-PV0057","120-500","單相230"
"5000","PL106-PV0058","","ES 5000T","Ablerex","2018-03-26","PL106-PV0058","120-500","單相230"
"5500","PL106-PV0059","","ES 5500T","Ablerex","2018-03-26","PL106-PV0059","120-500","單相230"
"80000","PL106-PV0060","","M88H_122","Delta","2018-08-31","PL106-PV0060","200-1000","三相480"
"50000","PL106-PV0061","","RPI M50A_12S","Delta","2018-08-31","PL106-PV0061","200-1000","三相380"
"3000","PL106-PV0062","","H3_210","Delta","2018-08-31","PL106-PV0062","30-550","單相220"
"20000","PL106-PV0063","","SUN2000-20KTL","Huawei","2018-06-12","PL106-PV0063","200-1000","三相220/380"
"30000","PL106-PV0064","","SUN2000-33KTL","Huawei","2018-06-12","PL106-PV0064","200-1000","三相220/380"
"500000","PL106-PV0065","","GSL0500","KSTAR","2018-12-14","PL106-PV0065","450-850","三相315"
"30000","PL106-PV0066","","SLM- 30000T-U","Solar Master","2018-09-24","PL106-PV0066","180-980","三相220/380"
"2,200,000","PL106-PV0067","","SC-2200-10","SMA","2018-12-31","PL106-PV0067","570-950","三相385"
"2,500,000","PL106-PV0068","","SC-2500-EV-10","SMA","2018-12-31","PL106-PV0068","850-1425","三相550"
"3000","PL106-PV0069","","PV-3000E-V","PrimeVOLT","2018-04-26","PL106-PV0069","70-600","單相220"
"5000","PL106-PV0070","","PV-5000E-V","PrimeVOLT","2018-04-26","PL106-PV0070","70-600","單相220"
"4000","PL106-PV0071","","SE4000H","Solaredge","2018-03-12","PL106-PV0071","380-480","單相 220/230"
"5000","PL106-PV0072","","SE5000H","Solaredge","2018-03-12","PL106-PV0072","380-480","單相 220/230"
"6000","PL106-PV0073","","SE6000H","Solaredge","2018-03-12","PL106-PV0073","380-480","單相 220/230"
"60000","PL106-PV0074","","TRIO-60.0-TL-OUTD-480","ABB","2018-05-25","PL106-PV0074","360-950","三相 480"
"500000","PL106-PV0077","","EQMX0500UV320XN","Satcon","2018-02-06","PL106-PV0077","500-850","三相320"
"500000","PL106-PV0078","","EQMX0500UV320XP","Satcon","2018-02-06","PL106-PV0078","500-850","三相320"
"630000","PL106-PV0079","","EQMX0630UV400XN","Satcon","2018-02-06","PL106-PV0079","615-850","三相400"
"630000","PL106-PV0080","","EQMX0630UV400XP","Satcon","2018-02-06","PL106-PV0080","615-850","三相400"
"1000000","PL106-PV0081","","C1000","DELTA","2018-08-31","PL106-PV0081","520-1000","三相 350"
"1000000","PL106-PV0082","","KACO blueplanet 1000 TL3 1000 TL3 M1 GM OD USX0","KACO","2018-03-22","PL106-PV0082","550-1100","三相 370"
"8000","PL106-PV0083","","SUN2000-8KTL","Huawei","2018-06-12","PL106-PV0083","200-950","三相 220/380"
"12000","PL106-PV0084","","SUN2000-12KTL","Huawei","2018-06-12","PL106-PV0084","200-950","三相 220/380"
"17000","PL106-PV0085","","SUN2000-17KTL","Huawei","2018-06-12","PL106-PV0085","200-950","三相 220/380"
"540000","PL106-PV0086","","Conext Core XC540","Schneider","2019-01-07","PL106-PV0086","440-885","三相 300"
"630000","PL106-PV0087","","Conext Core XC630","Schneider","2019-01-07","PL106-PV0087","510-885","三相 350"
"680000","PL106-PV0088","","Conext Core XC680","Schneider","2019-01-07","PL106-PV0088","550-885","三相 380"
"1200","PL106-PV0089","","UNO-DM-1.2-TL-PLUS","ABB","2018-05-25","PL106-PV0089","90-580","單相 180-264"
"1200","PL106-PV0090","","UNO-DM-1.2-TL-PLUS-B","ABB","2018-05-25","PL106-PV0090","90-580","單相 180-264"
"1200","PL106-PV0091","","UNO-DM-1.2-TL-PLUS-SB","ABB","2018-05-25","PL106-PV0091","90-580","單相 180-264"
"2000","PL106-PV0092","","UNO-DM-2.0-TL-PLUS","ABB","2018-05-25","PL106-PV0092","90-580","單相 180-264"
"2000","PL106-PV0093","","UNO-DM-2.0-TL-PLUS-B","ABB","2018-05-25","PL106-PV0093","90-580","單相 180-264"
"2000","PL106-PV0094","","UNO-DM-2.0-TL-PLUS-SB","ABB","2018-05-25","PL106-PV0094","90-580","單相 180-264"
"3300","PL106-PV0095","","UNO-DM-3.3-TL-PLUS","ABB","2018-05-25","PL106-PV0095","90-580","單相 180-264"
"3300","PL106-PV0096","","UNO-DM-3.3-TL-PLUS-B","ABB","2018-05-25","PL106-PV0096","90-580","單相 180-264"
"3300","PL106-PV0097","","UNO-DM-3.3-TL-PLUS-SB","ABB","2018-05-25","PL106-PV0097","90-580","單相 180-264"
"4000","PL106-PV0098","","UNO-DM-4.0-TL-PLUS","ABB","2018-05-25","PL106-PV0098","90-580","單相 180-264"
"4000","PL106-PV0099","","UNO-DM-4.0-TL-PLUS-B","ABB","2018-05-25","PL106-PV0099","90-580","單相 180-264"
"4000","PL106-PV0100","","UNO-DM-4.0-TL-PLUS-SB","ABB","2018-05-25","PL106-PV0100","90-580","單相 180-264"
"4600","PL106-PV0101","","UNO-DM-4.6-TL-PLUS","ABB","2018-05-25","PL106-PV0101","90-580","單相 180-264"
"4600","PL106-PV0102","","UNO-DM-4.6-TL-PLUS-B","ABB","2018-05-25","PL106-PV0102","90-580","單相 180-264"
"4600","PL106-PV0103","","UNO-DM-4.6-TL-PLUS-SB","ABB","2018-05-25","PL106-PV0103","90-580","單相 180-264"
"5000","PL106-PV0104","","UNO-DM-5.0-TL-PLUS","ABB","2018-05-25","PL106-PV0104","90-580","單相 180-264"
"5000","PL106-PV0105","","UNO-DM-5.0-TL-PLUS-B","ABB","2018-05-25","PL106-PV0105","90-580","單相 180-264"
"5000","PL106-PV0106","","UNO-DM-5.0-TL-PLUS-SB","ABB","2018-05-25","PL106-PV0106","90-580","單相 180-264"
"500000","PL106-PV0107","","GROWATT CP500TL-S","GROWATT","2018-12-28","PL106-PV0107","600-900","三相400"
"630000","PL106-PV0108","","GROWATT CP630TL-S","GROWATT","2018-12-28","PL106-PV0108","600-900","三相400"
"850000","PL106-PV0109","","GROWATT CP850TL-S","GROWATT","2018-12-28","PL106-PV0109","600-900","三相400"
"1,645,000","PL106-PV0110","","PVS800-57B-1645kW-C","ABB","2018-11-22","PL106-PV0110","550-850","三相 380"
"1,732,000","PL106-PV0111","","PVS800-57B-1732kW-C","ABB","2018-11-22","PL106-PV0111","580-850","三相 400"
"1500","PL106-PV0112","","Galvo 1.5-1","Fronius","2018-09-30","PL106-PV0112","120-335","單相 220"
"2000","PL106-PV0113","","Galvo 2.0-1","Fronius","2018-09-30","PL106-PV0113","120-335","單相 220"
"2500","PL106-PV0114","","Galvo 2.5-1","Fronius","2018-09-30","PL106-PV0114","165-440","單相 220"
"3000","PL106-PV0115","","Galvo 3.0-1","Fronius","2018-09-30","PL106-PV0115","165-440","單相 220"
"3100","PL106-PV0116","","Galvo 3.1-1","Fronius","2018-09-30","PL106-PV0116","165-440","單相 220"
"20000","PL106-PV0117","","REFUsol 20K","REFUsol","2018-05-15","PL106-PV0117","490-850","三相 400"
"40000","PL106-PV0118","","REFUsol 40K","REFUsol","2018-05-15","PL106-PV0118","490-850","三相 400"
"36000","PL106-PV0119","","SG36KTL-M","Sungrow","2018-03-19","PL106-PV0119","200-1000","三相 400"
"4990","PL106-PV0119","","SG5K-D","Sungrow","2018-03-19","PL106-PV0119","90-600","單相 230"
"1670000","PL106-PV0120","","CS1670","Schneider","2018-11-07","PL106-PV0120","865-1500","三相575"
"50000","PL106-PV0120","","STP 50-40","SMA","2018-12-31","PL106-PV0120","500-800","三相 230/400"
"5000","PL106-PV0121","","PV-5000T-U","PrimeVOLT","2018-09-24","PL106-PV0121","180-198","三相220/380"
"1800000","PL106-PV0121","","CS1800","Schneider","2018-11-07","PL106-PV0121","865-1500","三相575"
"2000000","PL106-PV0122","","CS2000","Schneider","2018-11-07","PL106-PV0122","865-1500","三相575"
"8000","PL106-PV0122","","PV-8000T-U","PrimeVOLT","2018-09-24","PL106-PV0122","180-980","三相220/380"
"10000","PL106-PV0123","","PV-10000T-U","PrimeVOLT","2018-09-24","PL106-PV0123","180-980","三相220/380"
"1000000","PL106-PV0123","","SG1000","Sungrow","2018-09-20","PL106-PV0123","460-1000","三相 315"
"2000000","PL106-PV0124","","SG2000","Sungrow","2018-09-20","PL106-PV0124","460-1000","三相 315"
"3800","PL106-PV0124","","PVMate 3300MS","MOTECH","2018-02-14","PL106-PV0124","100-500","單相230"
"4400","PL106-PV0125","","PVMate 3800MS","MOTECH","2018-02-14","PL106-PV0125","100-500","單相230"
"630000","PL106-PV0125","","PVM3.54.0630.2M","LTi","2018-06-20","PL106-PV0125","540-1000","三相 350"
"945000","PL106-PV0126","","PVM3.54.0945.3M","LTi","2018-06-20","PL106-PV0126","540-1000","三相 350"
"5100","PL106-PV0126","","PVMate 4600MS","MOTECH","2018-02-14","PL106-PV0126","100-500","單相230"
"1260000","PL106-PV0127","","PVM3.54.1260.4M","LTi","2018-06-20","PL106-PV0127","540-1000","三相 350"
"1575000","PL106-PV0128","","PVM3.54.1575.5M","LTi","2018-06-20","PL106-PV0128","540-1000","三相 350"
"1890000","PL106-PV0129","","PVM3.54.1890.6M","LTi","2018-06-20","PL106-PV0129","540-1000","三相 350"
"666000","PL106-PV0130","","PVM3.57.0666.2M","LTi","2018-06-20","PL106-PV0130","570-1000","三相 370"
"999000","PL106-PV0131","","PVM3.57.0999.3M","LTi","2018-06-20","PL106-PV0131","570-1000","三相 370"
"1332000","PL106-PV0132","","PVM3.57.1332.4M","LTi","2018-06-20","PL106-PV0132","570-1000","三相 370"
"1665000","PL106-PV0133","","PVM3.57.1665.5M","LTi","2018-06-20","PL106-PV0133","570-1000","三相 370"
"1998000","PL106-PV0134","","PVM3.57.1998.6M","LTi","2018-06-20","PL106-PV0134","570-1000","三相 370"
"700000","PL106-PV0135","","PVM3.59.0700.2M","LTi","2018-06-20","PL106-PV0135","590-1000","三相 390"
"1050000","PL106-PV0136","","PVM3.59.1050.3M","LTi","2018-06-20","PL106-PV0136","590-1000","三相 390"
